epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,490.162,1.3058,2.66283,1.00983,0.43563,0.25599,0.28099,0.15595,1.83961,2.33533,1.35356,0.00054,0.00054,0.00054
2,4931.93,1.20488,1.00383,0.96618,0.20717,0.19311,0.08134,0.03824,2.2263,4.40824,2.39261,0.00107822,0.00107822,0.00107822
3,5430.17,1.18191,0.87825,0.95226,0.35588,0.12275,0.10864,0.06275,2.51172,3.63781,2.59838,0.00159426,0.00159426,0.00159426
4,5967.56,1.19914,0.86406,0.96878,0.47804,0.15569,0.21595,0.11894,2.31313,2.94627,1.87711,0.0018812,0.0018812,0.0018812
5,6496.46,1.17251,0.80405,0.95129,0.70463,0.16467,0.26387,0.14456,2.07269,2.79386,1.7749,0.0018416,0.0018416,0.0018416
6,6996.43,1.1683,0.82974,0.96039,0.81373,0.1635,0.23465,0.13591,2.03739,2.69079,1.71972,0.001802,0.001802,0.001802
7,7492.32,1.17627,0.85144,0.96713,0.56265,0.16755,0.29949,0.16185,2.07613,2.64674,1.72402,0.0017624,0.0017624,0.0017624
8,7974.02,1.14073,0.78926,0.94967,0.47873,0.18713,0.27484,0.15439,2.01596,2.72311,1.62055,0.0017228,0.0017228,0.0017228
9,8525.35,1.12157,0.73594,0.95222,0.69404,0.16467,0.27338,0.16192,2.08268,3.17013,1.68847,0.0016832,0.0016832,0.0016832
10,9097.02,1.09204,0.73699,0.94099,0.42089,0.21107,0.30617,0.16933,1.96919,2.37039,1.64382,0.0016436,0.0016436,0.0016436
11,9563.2,1.09059,0.71246,0.93299,0.53262,0.18263,0.31181,0.17443,1.97478,2.63175,1.64312,0.001604,0.001604,0.001604
12,10033.5,1.05534,0.64757,0.90789,0.76483,0.16067,0.24019,0.13988,2.0446,2.77308,1.67701,0.0015644,0.0015644,0.0015644
13,10508.8,1.06421,0.71069,0.93616,0.61932,0.20958,0.32844,0.18256,2.00054,2.72826,1.6317,0.0015248,0.0015248,0.0015248
14,11003.5,1.01761,0.64076,0.91498,0.80199,0.15868,0.25591,0.15269,1.92923,2.72848,1.62723,0.0014852,0.0014852,0.0014852
15,11446.8,0.98383,0.64252,0.92936,0.78943,0.15868,0.27349,0.16027,1.94878,2.67439,1.59896,0.0014456,0.0014456,0.0014456
16,11942.3,1.02416,0.6679,0.91549,0.68369,0.17365,0.31837,0.17989,2.02768,2.91754,1.69642,0.001406,0.001406,0.001406
17,12399.2,1.03297,0.64047,0.91112,0.92452,0.16018,0.26124,0.15927,1.94935,2.98142,1.63506,0.0013664,0.0013664,0.0013664
18,12916.2,1.03774,0.66536,0.91687,0.62298,0.21707,0.36991,0.20446,1.88473,2.35696,1.60111,0.0013268,0.0013268,0.0013268
19,13371.6,0.98708,0.62441,0.91691,0.612,0.20958,0.37494,0.21098,1.90785,2.46545,1.60908,0.0012872,0.0012872,0.0012872
20,13810.8,1.0112,0.64369,0.91486,0.7344,0.17515,0.32408,0.19555,1.90573,2.89164,1.56763,0.0012476,0.0012476,0.0012476
21,14330.9,0.9934,0.60335,0.90261,0.6363,0.17548,0.35554,0.19952,1.93138,2.70273,1.63011,0.001208,0.001208,0.001208
22,14832.7,0.94606,0.57095,0.89743,0.31669,0.38922,0.36158,0.22426,1.87155,3.21223,1.57581,0.0011684,0.0011684,0.0011684
23,15296.7,0.96626,0.57922,0.89244,0.89152,0.16018,0.28044,0.17231,1.88398,3.26959,1.60374,0.0011288,0.0011288,0.0011288
24,15762.2,0.96344,0.57913,0.89895,0.50996,0.21856,0.30538,0.18271,1.87276,2.71304,1.57107,0.0010892,0.0010892,0.0010892
25,16214.1,0.95545,0.58485,0.90635,0.80965,0.16617,0.28163,0.1802,1.87507,3.16131,1.60272,0.0010496,0.0010496,0.0010496
26,16669,0.94968,0.56163,0.89827,0.88131,0.16168,0.2831,0.1789,1.87759,3.24811,1.6021,0.00101,0.00101,0.00101
27,17095.4,0.92136,0.5284,0.88432,0.56701,0.2021,0.32922,0.19698,1.8277,2.8388,1.53038,0.0009704,0.0009704,0.0009704
28,17534.8,0.92805,0.53579,0.88951,0.55074,0.18168,0.30815,0.18938,1.82633,2.88573,1.52736,0.0009308,0.0009308,0.0009308
29,17985.1,0.93541,0.53872,0.89031,0.25508,0.4506,0.35233,0.22288,1.82744,2.94128,1.55509,0.0008912,0.0008912,0.0008912
